ID_aeroport;Nom_aeroport;Code_aeroport;Ville;Pays
349;SimÃ³n BolÃ­var International Airport;SVMI;;VE-X
350;Qingdao Jiaodong International Airport;TAO;;CN-37
351;Martinique AimÃ© CÃ©saire International Airport;TFFF;;MQ-U-A
352;Pointe-Ã -Pitre Le Raizet International  Airport;TFFR;;GP-U-A
353;Luis Munoz Marin International Airport;TJSJ;;PR-U-A
354;Hewanorra International Airport;TLPL;;LC-11
355;Queen Beatrix International Airport;TNCA;;AW-U-A
356;Flamingo International Airport;TNCB;;BQ-U-A
357;Hato International Airport;TNCC;;CW-U-A
358;Princess Juliana International Airport;TNCM;;SX-U-A
359;Almaty International Airport;UAAA;;KZ-ALA
360;Nursultan Nazarbayev International Airport;UACC;;KZ-AKM
361;Manas International Airport;UAFM;;KG-C
362;Hazrat Sultan International Airport;UAIT;;KZ-YUZ
363;Heydar Aliyev International Airport;UBBB;;AZ-BA
364;Zvartnots International Airport;UDYZ;;AM-ER
365;Tbilisi International Airport;UGTB;;GE-TB
366;Vladivostok International Airport;UHWW;;RU-PRI
367;Boryspil International Airport;UKBB;;UA-32
368;Lviv International Airport;UKLL;;UA-46
369;Pulkovo Airport;ULLI;;RU-SPE
370;Minsk National Airport;UMMS;;BY-MI
371;Krasnoyarsk International Airport;UNKL;;RU-KYA
372;Novosibirsk Tolmachevo Airport;UNNT;;RU-NVS
373;Platov International Airport;URRP;;RU-ROS
374;Sochi International Airport;URSS;;RU-KDA
375;Koltsovo Airport;USSS;;RU-SVE
376;Ashgabat International Airport;UTAA;;TM-S
377;Tashkent International Airport;UTTT;;UZ-TO
378;Zhukovsky International Airport;UUBW;;RU-MOS
379;Domodedovo International Airport;UUDD;;RU-MOS
380;Sheremetyevo International Airport;UUEE;;RU-MOS
381;Vnukovo International Airport;UUWW;;RU-MOS
382;Kazan International Airport;UWKD;;RU-TA
383;Gagarin International Airport;UWSG;;RU-SAR
384;Ufa International Airport;UWUU;;RU-BA
385;Kurumoch International Airport;UWWW;;RU-SAM
386;Chhatrapati Shivaji International Airport;VABB;;IN-MM
387;Dabolim Airport;VAGO;;IN-GA
388;Bandaranaike International Colombo Airport;VCBI;;LK-1
389;Mattala Rajapaksa International Airport;VCRI;;LK-3
390;Phnom Penh International Airport;VDPP;;KH-12
391;Siem Reap International Airport;VDSR;;KH-17
392;Netaji Subhash Chandra Bose International Airport;VECC;;IN-WB
393;Hazrat Shahjalal International Airport;VGZR;;BD-3
394;Hong Kong International Airport;VHHH;;HK-NT
395;Indira Gandhi International Airport;VIDP;;IN-DL
396;Macau International Airport;VMMC;;MO-CAR
397;Tribhuvan International Airport;VNKT;;NP-P3
398;Kempegowda International Airport;VOBL;;IN-KA
399;Cochin International Airport;VOCI;;IN-KL
400;Rajiv Gandhi International Airport;VOHS;;IN-TG
401;Chennai International Airport;VOMM;;IN-TN
402;Trivandrum International Airport;VOTV;;IN-KL
403;MalÃ© International Airport;VRMM;;MV-MLE
404;Don Mueang International Airport;VTBD;;TH-10
405;Suvarnabhumi Airport;VTBS;;TH-10
406;Chiang Mai International Airport;VTCC;;TH-50
407;Phuket International Airport;VTSP;;TH-83
